Time [s],lsm6dsv16x_acc_x [g],lsm6dsv16x_acc_y [g],lsm6dsv16x_acc_z [g],lsm6dsv16x_gyro_x [dps],lsm6dsv16x_gyro_y [dps],lsm6dsv16x_gyro_z [dps]
1.134985,0.492392,-1.033096,0.558272,-44.380001,-49.560001,-30.520000
1.135111,0.493368,-1.034072,0.552904,-44.099998,-49.279999,-30.380001
1.135237,0.491904,-1.029192,0.552904,-43.959999,-49.139999,-30.240000
1.135363,0.491416,-1.033584,0.555832,-43.680000,-48.860001,-30.100000
1.135489,0.494832,-1.034072,0.559248,-43.540001,-48.720001,-30.100000
1.135615,0.495320,-1.035536,0.564128,-43.400002,-48.580002,-29.960001
1.135741,0.496784,-1.037976,0.557784,-43.259998,-48.299999,-29.960001
1.135867,0.495320,-1.036512,0.559736,-43.119999,-48.160000,-29.960001
1.135993,0.490928,-1.035536,0.557296,-42.980000,-48.160000,-29.820000
1.136119,0.499224,-1.037488,0.559736,-42.840000,-48.020000,-29.820000
1.136245,0.501176,-1.037488,0.563152,-42.560001,-47.880001,-29.680000
1.136371,0.499712,-1.035048,0.560224,-42.420002,-47.880001,-29.540001
1.136497,0.500688,-1.037976,0.560712,-42.139999,-47.740002,-29.400000
1.136623,0.499712,-1.039440,0.563640,-42.000000,-47.599998,-29.260000
1.136749,0.502640,-1.040416,0.567544,-41.860001,-47.320000,-29.120001
1.136875,0.506544,-1.039440,0.563640,-41.580002,-47.040001,-28.980000
1.137001,0.506056,-1.041392,0.567544,-41.439999,-46.759998,-28.980000
1.137127,0.505080,-1.040416,0.568520,-41.160000,-46.619999,-28.840000
1.137253,0.504592,-1.039928,0.564128,-41.020000,-46.340000,-28.840000
1.137379,0.507520,-1.042856,0.566080,-40.880001,-46.200001,-28.840000
1.137505,0.510936,-1.041880,0.569496,-40.740002,-46.060001,-28.700001
1.137631,0.512400,-1.042368,0.568032,-40.599998,-45.920002,-28.700001
1.137757,0.506544,-1.043344,0.569984,-40.459999,-45.639999,-28.559999
1.137883,0.512400,-1.043832,0.566080,-40.320000,-45.500000,-28.559999
1.138009,0.517280,-1.041880,0.563152,-40.040001,-45.360001,-28.420000
1.138135,0.516792,-1.043344,0.567056,-39.900002,-45.220001,-28.280001
1.138261,0.518256,-1.043344,0.570472,-39.619999,-45.080002,-28.280001
1.138387,0.519720,-1.043344,0.571448,-39.480000,-44.939999,-28.139999
1.138513,0.522160,-1.042856,0.568032,-39.340000,-44.799999,-28.000000
1.138639,0.522160,-1.045296,0.573400,-39.060001,-44.660000,-28.000000
1.138765,0.519720,-1.052616,0.569008,-38.920002,-44.520000,-27.860001
1.138891,0.517280,-1.049688,0.569496,-38.779999,-44.240002,-27.719999
1.139017,0.521184,-1.048224,0.570960,-38.500000,-44.099998,-27.719999
1.139143,0.523136,-1.047248,0.570472,-38.360001,-43.820000,-27.580000
1.139269,0.527040,-1.047248,0.570960,-38.080002,-43.680000,-27.440001
1.139395,0.528504,-1.052128,0.569008,-37.939999,-43.540001,-27.440001
1.139521,0.531432,-1.050664,0.571936,-37.799999,-43.400002,-27.299999
1.139647,0.537288,-1.055056,0.571448,-37.660000,-43.259998,-27.299999
1.139773,0.537776,-1.049688,0.569496,-37.520000,-43.119999,-27.160000
1.139899,0.534848,-1.046272,0.570960,-37.380001,-42.840000,-27.160000
1.140025,0.534360,-1.051640,0.572912,-37.380001,-42.700001,-27.160000
1.140151,0.538264,-1.053104,0.573400,-37.240002,-42.560001,-27.020000
1.140277,0.538752,-1.049688,0.573400,-37.099998,-42.279999,-27.020000
1.140403,0.535336,-1.050176,0.574864,-36.820000,-42.139999,-26.880001
1.140529,0.540216,-1.051152,0.578280,-36.680000,-42.000000,-26.880001
1.140655,0.541680,-1.047736,0.577792,-36.400002,-41.860001,-26.740000
1.140781,0.539240,-1.053104,0.578280,-36.119999,-41.720001,-26.600000
1.140907,0.544120,-1.057008,0.576816,-35.980000,-41.580002,-26.600000
1.141033,0.545096,-1.059448,0.580232,-35.700001,-41.299999,-26.460001
1.141159,0.548024,-1.054080,0.576816,-35.560001,-41.020000,-26.460001
1.141285,0.550952,-1.055544,0.570960,-35.420002,-40.880001,-26.460001
1.141411,0.549488,-1.056520,0.570960,-35.279999,-40.599998,-26.320000
1.141537,0.546560,-1.057496,0.568032,-35.279999,-40.459999,-26.320000
1.141663,0.548024,-1.057984,0.573888,-35.139999,-40.320000,-26.320000
1.141789,0.556320,-1.056032,0.575840,-35.000000,-40.180000,-26.180000
1.141915,0.559248,-1.059936,0.571936,-34.860001,-40.180000,-26.180000
1.142041,0.559736,-1.056520,0.576328,-34.720001,-40.040001,-26.040001
1.142167,0.557296,-1.060912,0.572912,-34.439999,-39.900002,-25.900000
1.142293,0.560712,-1.064816,0.570960,-34.160000,-39.619999,-25.900000
1.142419,0.564616,-1.058960,0.571936,-34.020000,-39.480000,-25.760000
1.142545,0.560224,-1.057984,0.575840,-33.880001,-39.200001,-25.620001
1.142671,0.566568,-1.061888,0.575840,-33.740002,-38.920002,-25.620001
1.142797,0.570960,-1.059448,0.572424,-33.740002,-38.639999,-25.620001
1.142923,0.568520,-1.057984,0.574864,-33.599998,-38.360001,-25.620001
1.143049,0.569008,-1.059448,0.572912,-33.459999,-38.220001,-25.620001
1.143175,0.575352,-1.062864,0.570472,-33.320000,-38.080002,-25.620001
1.143301,0.577792,-1.062864,0.570472,-33.040001,-37.939999,-25.480000
1.143427,0.574864,-1.064328,0.568032,-32.900002,-37.799999,-25.340000
1.143553,0.579744,-1.068720,0.565104,-32.619999,-37.660000,-25.200001
1.143679,0.582184,-1.063840,0.567056,-32.340000,-37.520000,-25.059999
1.143805,0.578280,-1.065304,0.567056,-32.200001,-37.380001,-25.059999
1.143931,0.580232,-1.065792,0.561688,-31.920000,-37.099998,-25.059999
1.144057,0.585112,-1.064816,0.566080,-31.780001,-36.959999,-25.059999
1.144183,0.587064,-1.067256,0.564616,-31.639999,-36.680000,-25.059999
1.144309,0.583160,-1.068232,0.560224,-31.500000,-36.400002,-25.059999
1.144435,0.584136,-1.064816,0.567056,-31.360001,-36.259998,-25.059999
1.144561,0.587064,-1.067744,0.569496,-31.219999,-35.980000,-25.059999
1.144687,0.588040,-1.077504,0.563152,-31.080000,-35.840000,-24.920000
1.144813,0.590480,-1.073600,0.567544,-30.799999,-35.700001,-24.920000
1.144939,0.590480,-1.071648,0.569008,-30.660000,-35.560001,-24.780001
1.145065,0.597312,-1.073112,0.568520,-30.380001,-35.420002,-24.780001
1.145191,0.592432,-1.070184,0.565592,-30.100000,-35.279999,-24.639999
1.145317,0.596336,-1.072136,0.566080,-29.820000,-35.139999,-24.500000
1.145443,0.602192,-1.074576,0.566080,-29.680000,-35.000000,-24.360001
1.145569,0.596336,-1.074088,0.563640,-29.540001,-34.860001,-24.360001
1.145695,0.600240,-1.077992,0.564128,-29.400000,-34.720001,-24.219999
1.145820,0.600240,-1.077504,0.559248,-29.260000,-34.580002,-24.080000
1.145946,0.603168,-1.078480,0.563640,-29.260000,-34.439999,-24.080000
1.146072,0.605120,-1.076528,0.564616,-29.120001,-34.299999,-24.080000
1.146198,0.605120,-1.076040,0.566568,-29.120001,-34.160000,-24.080000
1.146324,0.607560,-1.081408,0.566080,-28.980000,-33.880001,-24.080000
1.146450,0.605120,-1.075552,0.560712,-28.700001,-33.740002,-23.940001
1.146576,0.607560,-1.079456,0.560712,-28.559999,-33.599998,-23.940001
1.146702,0.612440,-1.081896,0.561688,-28.280001,-33.320000,-23.940001
1.146828,0.609512,-1.079944,0.558272,-28.000000,-33.180000,-23.940001
1.146954,0.611464,-1.082384,0.555344,-27.719999,-32.900002,-23.940001
1.147080,0.619272,-1.083848,0.555832,-27.440001,-32.759998,-23.940001
1.147206,0.618784,-1.078480,0.556320,-27.160000,-32.480000,-23.799999
1.147332,0.618296,-1.077992,0.563152,-27.020000,-32.340000,-23.799999
