Time [s],lsm6dsv16x_acc_x [g],lsm6dsv16x_acc_y [g],lsm6dsv16x_acc_z [g],lsm6dsv16x_gyro_x [dps],lsm6dsv16x_gyro_y [dps],lsm6dsv16x_gyro_z [dps]
2.643038,0.364048,0.938424,0.022936,14.560000,5.040000,3.780000
2.643164,0.357704,0.942816,0.027328,14.560000,5.040000,3.920000
2.643290,0.353800,0.942816,0.027816,14.560000,5.180000,3.920000
2.643416,0.359168,0.943792,0.024888,14.700000,5.320000,3.920000
2.643542,0.358680,0.947696,0.025864,14.700000,5.320000,3.920000
2.643668,0.358192,0.943304,0.024888,14.700000,5.320000,3.920000
2.643794,0.364536,0.944280,0.027328,14.700000,5.320000,3.920000
2.643920,0.357216,0.940376,0.024400,14.700000,5.320000,3.920000
2.644046,0.355264,0.941840,0.022448,14.560000,5.180000,3.920000
2.644172,0.356728,0.943304,0.023424,14.560000,5.180000,3.920000
2.644298,0.358680,0.944280,0.016104,14.560000,5.180000,3.920000
2.644424,0.360632,0.946232,0.023912,14.560000,5.180000,3.920000
2.644550,0.358680,0.943304,0.032696,14.560000,5.320000,3.920000
2.644676,0.358680,0.947208,0.020984,14.560000,5.460000,3.780000
2.644802,0.357216,0.943304,0.021960,14.560000,5.460000,3.780000
2.644928,0.357704,0.942328,0.025864,14.560000,5.460000,3.780000
2.645054,0.355752,0.940864,0.019520,14.560000,5.460000,3.780000
2.645180,0.357704,0.940376,0.019032,14.420000,5.320000,3.920000
2.645306,0.360144,0.944768,0.019520,14.420000,5.180000,3.920000
2.645432,0.355752,0.937448,0.021472,14.420000,5.040000,3.920000
2.645558,0.355264,0.935984,0.021472,14.420000,5.040000,4.060000
2.645684,0.348432,0.940864,0.011712,14.420000,5.040000,4.060000
2.645810,0.346968,0.939888,0.018056,14.280000,5.040000,4.200000
2.645936,0.352824,0.937448,0.023424,14.280000,5.040000,4.060000
2.646062,0.352824,0.943304,0.018056,14.280000,5.040000,4.060000
2.646188,0.351360,0.944768,0.018544,14.140000,4.900000,3.920000
2.646314,0.349896,0.944280,0.022936,14.140000,4.900000,3.920000
2.646440,0.351848,0.943304,0.024888,14.140000,4.760000,3.920000
2.646566,0.349408,0.940864,0.023912,14.280000,4.760000,4.060000
2.646692,0.352824,0.943792,0.019032,14.280000,4.620000,4.060000
2.646818,0.357704,0.942328,0.017080,14.280000,4.620000,4.200000
2.646944,0.351848,0.944768,0.023424,14.280000,4.760000,4.200000
2.647070,0.349896,0.943792,0.020496,14.280000,4.760000,4.200000
2.647196,0.349408,0.944280,0.024888,14.280000,4.760000,4.200000
2.647322,0.352336,0.945744,0.023912,14.280000,4.760000,4.200000
2.647448,0.351848,0.939888,0.020984,14.280000,4.620000,4.200000
2.647574,0.350872,0.945744,0.025864,14.140000,4.620000,4.200000
2.647700,0.349896,0.946720,0.026840,14.140000,4.620000,4.200000
2.647826,0.345992,0.945744,0.024400,14.280000,4.480000,4.200000
2.647952,0.351848,0.946720,0.018544,14.280000,4.480000,4.340000
2.648078,0.350384,0.946232,0.019520,14.420000,4.480000,4.340000
2.648204,0.349896,0.947696,0.018544,14.420000,4.480000,4.340000
2.648330,0.351360,0.947208,0.018056,14.420000,4.480000,4.200000
2.648456,0.348432,0.951600,0.019520,14.420000,4.340000,4.200000
2.648582,0.353312,0.950136,0.021472,14.420000,4.340000,4.060000
2.648708,0.351848,0.949648,0.023912,14.280000,4.340000,4.060000
2.648834,0.344040,0.949160,0.026840,14.280000,4.340000,4.060000
2.648960,0.348432,0.944768,0.024400,14.280000,4.200000,4.200000
2.649086,0.345992,0.946232,0.021960,14.140000,4.200000,4.340000
2.649212,0.345504,0.946232,0.023912,14.140000,4.200000,4.340000
2.649338,0.349408,0.946720,0.023912,14.000000,4.200000,4.340000
2.649464,0.346968,0.945744,0.020984,13.860000,4.200000,4.340000
2.649590,0.344040,0.945744,0.016592,13.860000,4.200000,4.340000
2.649716,0.343552,0.949648,0.019520,13.860000,4.200000,4.200000
